text,g,frequency
Brittney,F,523
Mohamed,M,523
Simone,F,522
Osvaldo,M,522
Cara,F,521
Adeline,F,520
Tia,F,520
Daphne,F,519
Terrell,M,518
Ellen,F,516
Lia,F,516
Tobias,M,516
Wilson,M,516
Monique,F,515
Conor,M,514
Kaley,F,513
Penelope,F,513
Dayana,F,512
Janet,F,512
Alvin,M,512
Jameson,M,512
Marilyn,F,511
Melina,F,510
Kierra,F,508
Skyla,F,508
Cyrus,M,508
Tomas,M,508
Triston,M,508
Gwendolyn,F,507
Jessie,F,507
Mikaela,F,507
Bobby,M,504
Nathalie,F,503
Byron,M,503
Will,M,503
Zoie,F,502
Craig,M,502
Pierce,M,502
Trevon,M,502
Lincoln,M,501
Amara,F,500
Sharon,F,500
Aubree,F,499
Kailee,F,499
Kenzie,F,499
Maci,F,499
Jaida,F,498
Carissa,F,497
Maximilian,M,497
Demetrius,M,496
Rodolfo,M,496
Lilliana,F,495
Anderson,M,495
Reginald,M,494
Zackery,M,493
Rohan,M,492
Irene,F,489
Lexie,F,489
Bruce,M,489
Lorena,F,488
Sonia,F,488
Janessa,F,487
Tiara,F,487
Araceli,F,486
Delilah,F,486
Jett,M,486
Wade,M,486
Juliet,F,484
Damion,M,484
Harley,M,484
Adolfo,M,483
Joey,M,482
Kimora,F,481
Krista,F,481
Judah,M,481
Willie,M,481
Susan,F,480
Amira,F,479
Marlon,M,478
Alma,F,477
Luna,F,477
Cruz,M,477
Regina,F,476
Bailey,M,476
River,M,476
Gina,F,475
Jazmyn,F,475
Steve,M,475
Karissa,F,474
Maribel,F,474
Isaias,M,474
Moses,M,474
Kasey,F,473
Lea,F,473
Patience,F,472
Reyna,F,472
Gerald,M,472
Luz,F,471
Kellen,M,471
Marquis,M,471
Shaniya,F,470
Kendall,M,470
Elaine,F,469
Saniya,F,469
Dylan,F,468
Leon,M,468
Jaidyn,F,467
Blaine,M,467
Kenya,F,465
Danica,F,464
Francis,M,463
Grady,M,462
Arely,F,461
Tess,F,461
Carlee,F,459
Cristal,F,459
Mariam,F,459
Harry,M,459
Janae,F,458
Finn,M,458
Jolie,F,457
Katlyn,F,457
Gilberto,M,457
Dayton,M,456
Deven,M,456
Johnathon,M,456
Pamela,F,455
Alfonso,M,455
Everett,M,455
Abbey,F,452
Alonzo,M,452
Titus,M,452
Arielle,F,451
Haven,F,451
Jasper,M,451
Cali,F,450
Hadley,F,450
Kayden,F,450
Gunnar,M,450
Malcolm,M,448
Talan,M,446
Abbie,F,445
Edith,F,445
Trace,M,445
Karlee,F,444
Kennedi,F,444
Ben,M,444
Juliette,F,443
Mayra,F,443
Noemi,F,443
Kobe,M,443
Rocco,M,442
Monserrat,F,441
Cheyanne,F,440
Emmalee,F,439
Theresa,F,439
Johan,M,439
Ariel,M,438
Ulises,M,438
Kayley,F,437
Tamara,F,437
Ezequiel,M,437
Jamya,F,435
Jamie,M,435
Kaya,F,434
Warren,M,434
Ann,F,433
Jazlyn,F,433
Kendrick,M,433
Jamison,M,432
Abram,M,431
Rolando,M,431
Amani,F,430
Damaris,F,429
Ingrid,F,429
Tyra,F,429
Jerome,M,429
Tristin,M,429
Yazmin,F,428
Bailee,F,427
Orion,M,427
Jaylin,F,426
Stacy,F,426
Deborah,F,425
Jacquelyn,F,425
Jairo,M,425
Ally,F,424
Ahmed,M,424
Devan,M,423
Damarion,M,422
Ansley,F,421
Charity,F,421
Gisselle,F,421
Annalise,F,420
Catalina,F,420
Cecelia,F,420
Gillian,F,420
Ray,M,420
Vicente,M,420
Kaylyn,F,419
Meagan,F,419
Gianni,M,418
Greyson,M,418
Eve,F,417
Kendal,F,417
Angelique,F,416
Ayla,F,416
Hana,F,416
Paula,F,416
Lizeth,F,415
Mariela,F,415
Mara,F,414
Kadin,M,413
Thalia,F,412
Ronnie,M,412
Clare,F,411
Jaylynn,F,411
Kaylynn,F,411
Celia,F,410
Lainey,F,410
Stanley,M,410
Taniya,F,409
Jase,M,409
Giovanna,F,408
Kieran,M,408
Ramiro,M,408
Savanah,F,407
Brodie,M,407
Brisa,F,406
Quinn,F,406
Greta,F,405
Porter,M,405
Lyric,F,404
